DateKey,Date,Year,Quarter,MonthNumber,Month,YearMonth,FiscalYear,FiscalQuarter
20180325,2018-03-25,2018,Q1,3,March,2018-03,FY2018,FY2018 Q3
20180326,2018-03-26,2018,Q1,3,March,2018-03,FY2018,FY2018 Q3
20180327,2018-03-27,2018,Q1,3,March,2018-03,FY2018,FY2018 Q3
20180328,2018-03-28,2018,Q1,3,March,2018-03,FY2018,FY2018 Q3
20180329,2018-03-29,2018,Q1,3,March,2018-03,FY2018,FY2018 Q3
20180330,2018-03-30,2018,Q1,3,March,2018-03,FY2018,FY2018 Q3
20180331,2018-03-31,2018,Q1,3,March,2018-03,FY2018,FY2018 Q3
20180401,2018-04-01,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180402,2018-04-02,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180403,2018-04-03,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180404,2018-04-04,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180405,2018-04-05,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180406,2018-04-06,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180407,2018-04-07,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180408,2018-04-08,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180409,2018-04-09,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180410,2018-04-10,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180411,2018-04-11,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180412,2018-04-12,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180413,2018-04-13,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180414,2018-04-14,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180415,2018-04-15,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180416,2018-04-16,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180417,2018-04-17,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180418,2018-04-18,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180419,2018-04-19,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180420,2018-04-20,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180421,2018-04-21,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180422,2018-04-22,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180423,2018-04-23,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180424,2018-04-24,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180425,2018-04-25,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180426,2018-04-26,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180427,2018-04-27,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180428,2018-04-28,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180429,2018-04-29,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
20180430,2018-04-30,2018,Q2,4,April,2018-04,FY2018,FY2018 Q4
